Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Karduna A.R., McClure P.W., Michener L.A.","6701310178;7005712215;6602564582;","Scapular kinematics: Effects of altering the Euler angle sequence of rotations",2000,"Journal of Biomechanics","33","9",,"1063","1068",,106,"10.1016/S0021-9290(00)00078-6",2-s2.0-0034286993
"Karduna A.R., McClure P.W., Michener L.A., Sennett B.","6701310178;7005712215;6602564582;6603632526;","Dynamic measurements of three-dimensional scapular kinematics: A validation study",2001,"Journal of Biomechanical Engineering","123","2",,"184","190",,438,"10.1115/1.1351892",2-s2.0-0035038054
"Ben Kibler W.","7003375984;","Shoulder rehabilitation: Principles and practice",1998,"Medicine and Science in Sports and Exercise","30","4 SUPPL.",,"S40","S50",,80,,2-s2.0-0344784394
"Ludewig P.M., Cook T.M.","6701803184;7202531773;","Alterations in shoulder kinematics and associated muscle activity in people with symptoms of shoulder impingement",2000,"Physical Therapy","80","3",,"276","291",,1028,"10.1093/ptj/80.3.276",2-s2.0-0034014899
"Ludewig P.M., Cook T.M., Nawoczenski D.A.","6701803184;7202531773;6701573528;","Three-dimensional scapular orientation and muscle activity at selected positions of humeral elevation",1996,"Journal of Orthopaedic and Sports Physical Therapy","24","2",,"57","65",,283,"10.2519/jospt.1996.24.2.57",2-s2.0-0030016890
"Lukasiewicz A.C., McClure P., Michener L., Pratt N., Sennett B.","8070505600;7005712215;6602564582;35616701900;6603632526;","Comparison of 3-dimensional scapular position and orientation between subjects with and without shoulder impingement",1999,"Journal of Orthopaedic and Sports Physical Therapy","29","10",,"574","586",,476,"10.2519/jospt.1999.29.10.574",2-s2.0-0032692433
"McClure P.W., Michener L.A., Sennett B.J., Karduna A.R.","7005712215;6602564582;6603632526;6701310178;","Direct 3-dimensional measurement of scapular kinematics during dynamic movements in vivo",2001,"Journal of Shoulder and Elbow Surgery","10","3",,"269","277",,466,"10.1067/mse.2001.112954",2-s2.0-0035351457
"McQuade K.J., Wei S.H., Smidt G.L.","6603743901;7401765038;57225324485;","Effects of local muscle fatigue on three-dimensional scapulohumeral rhythm",1995,"Clinical Biomechanics","10","3",,"144","148",,59,"10.1016/0268-0033(95)93704-W",2-s2.0-0029278198
"Van Der Helm F.C.T.","","A standardized protocol for motion recordings of the shoulder",1997,"Proceedings of the First Conference of the International Shoulder Group",,,,"7","12",,80,,2-s2.0-0001899403
"Veeger H.E.J.","57217210036;","The position of the rotation center of the glenohumeral joint",2000,"Journal of Biomechanics","33","12",,"1711","1715",,140,"10.1016/S0021-9290(00)00141-X",2-s2.0-0033820958
"Wang C.-H., McClure P., Pratt N.E., Nobilini R.","55766617000;7005712215;35616701900;35605540900;","Stretching and strengthening exercises: Their effect on three- dimensional scapular kinematics",1999,"Archives of Physical Medicine and Rehabilitation","80","8",,"923","929",,128,"10.1016/S0003-9993(99)90084-9",2-s2.0-0032792024
"Yu B., Andrews J.G.","35301366400;7403358907;","The relationship between free limb motions and performance in the triple jump",1998,"Journal of Applied Biomechanics","14","2",,"223","237",,29,"10.1123/jab.14.2.223",2-s2.0-0032080516
"Yu B., Kienbacher T., Growney E.S., Johnson M.E., An K.-N.","35301366400;57191070793;57189655610;16031193400;36037088900;","Reproducibility of the kinematics and kinetics of the lower extremity during normal stair-climbing",1997,"Journal of Orthopaedic Research","15","3",,"348","352",,63,"10.1002/jor.1100150306",2-s2.0-0031148209
